WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Dikson,RU,73.5069,80.5464,-19.46,94,19,5.91,few clouds
107,Sayhat,SA,26.4852,50.0405,70.02,47,0,14.9,clear sky
108,Banda Aceh,ID,5.5577,95.3222,78.85,80,100,12.26,overcast clouds
109,Bulgan,MN,48.8125,103.5347,11.25,73,100,2.28,overcast clouds
110,Kisangani,CD,0.5167,25.2,73.8,81,74,1.86,broken clouds
111,Irati,BR,-25.4672,-50.6511,85.35,30,36,1.5,scattered clouds
112,Pangnirtung,CA,66.1451,-65.7125,8.6,40,20,8.05,few clouds
113,Constantine,DZ,36.365,6.6147,49.41,66,40,10.36,scattered clouds
114,Kiunga,PG,-6.1219,141.2906,73.67,100,100,0.63,light rain
115,Yulara,AU,-25.2406,130.9889,68.97,27,100,11.92,overcast clouds
116,Yarmouth,US,41.7057,-70.2286,41.0,35,0,20.0,clear sky
117,Grindavik,IS,63.8424,-22.4338,41.47,87,40,14.97,scattered clouds
118,Ekhabi,RU,53.5102,142.9671,26.58,82,94,12.19,overcast clouds
119,Mahenge,TZ,-8.6833,36.7167,67.53,75,100,3.31,light rain
120,Cap Malheureux,MU,-19.9842,57.6142,75.47,70,1,1.99,clear sky
121,Ponta Do Sol,PT,32.6667,-17.1,67.01,61,24,4.65,few clouds
122,Palmas,BR,-10.2128,-48.3603,89.47,45,75,6.91,broken clouds
123,Sao Raimundo Nonato,BR,-9.0153,-42.6994,84.04,52,100,4.74,light rain
124,Hokitika,NZ,-42.7167,170.9667,58.6,88,100,8.21,light rain
125,Faya,SA,18.3851,42.4509,59.52,49,5,10.87,clear sky
126,High Level,CA,58.5169,-117.136,15.91,86,75,2.3,smoke
127,Mataura,NZ,-46.1927,168.8643,58.48,95,83,2.71,broken clouds
128,Tiruttani,IN,13.177,79.6128,70.05,65,100,6.13,overcast clouds
129,Hasaki,JP,35.7333,140.8333,55.22,63,100,12.57,overcast clouds
130,Vung Tau,VN,10.346,107.0843,75.87,91,100,9.13,overcast clouds
131,Yangshan,CN,28.7615,115.0287,56.08,92,0,0.83,clear sky
