WeatherPy_vacation,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,Boyolangu,ID,75.85,overcast clouds,-8.1181,111.8935,Yos ega cv
593,Vilhena,BR,88.02,broken clouds,-12.7406,-60.1458,Hotel Mirage
601,Edd,ER,81.01,scattered clouds,13.9297,41.6925,
608,Acajutla,SV,86.58,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
611,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
612,Maceio,BR,85.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
616,Celestun,MX,80.85,light rain,20.8667,-90.4,Posada Lilia
622,Diamantino,BR,88.12,broken clouds,-14.4086,-56.4461,Hotel Delta
630,Honiara,SB,79.5,overcast clouds,-9.4333,159.95,Heritage Park Hotel
635,San Teodoro,PH,77.14,overcast clouds,13.4375,121.0193,"EdRay's Guesthouse, Restaurant and Bar"
638,Aquiraz,BR,86.09,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
641,Manavalakurichi,IN,76.55,overcast clouds,8.1333,77.3,Jebinrio home
642,Wanning,CN,75.56,light rain,18.8003,110.3967,Paradise Hotel
644,Trincomalee,LK,75.87,clear sky,8.5711,81.2335,Welcombe Hotel
645,Wiwili,NI,76.44,overcast clouds,13.6268,-85.8254,Hostal Gladys
647,Sungairaya,ID,77.38,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
650,Lagos,NG,84.52,scattered clouds,6.5833,3.75,
656,Iralaya,HN,82.58,light rain,15.0,-83.2333,Iglesia morava renovada
657,Safaga,EG,75.49,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
665,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
667,Mackay,AU,76.68,few clouds,-21.15,149.2,International Lodge Motel
672,Gamba,GA,75.45,overcast clouds,-2.65,10.0,
674,Tabou,CI,77.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
682,Marsh Harbour,BS,77.63,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
684,Madras,IN,76.98,light intensity drizzle,13.0878,80.2785,"Taj Connemara, Chennai"
686,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
688,Chateaubelair,VC,77.52,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
692,Gwembe,ZM,77.04,clear sky,-16.4975,27.6069,
695,Tutoia,BR,83.14,overcast clouds,-2.7619,-42.2744,Pousada Guará's
